(xmlParseElement,_wrap_xmlParseElement)
(xmlNodeSetName,_wrap_xmlNodeSetName)
(xmlUCSIsTagbanwa,_wrap_xmlUCSIsTagbanwa)
(xmlBufferCreateSize,_wrap_xmlBufferCreateSize)
(xmlValidBuildContentModel,_wrap_xmlValidBuildContentModel)
(xmlListReverse,_wrap_xmlListReverse)
(xmlXPathPopBoolean,_wrap_xmlXPathPopBoolean)
(xmlXPathNodeSetContains,_wrap_xmlXPathNodeSetContains)
(xmlSAX2AttributeDecl,_wrap_xmlSAX2AttributeDecl)
(xmlOutputBufferCreateIO,_wrap_xmlOutputBufferCreateIO)
(xmlParseEntityValue,_wrap_xmlParseEntityValue)
(xmlCreatePushParserCtxt,_wrap_xmlCreatePushParserCtxt)
(xmlNodeListGetRawString,_wrap_xmlNodeListGetRawString)
(xmlGetNoNsProp,_wrap_xmlGetNoNsProp)
(xmlDumpAttributeTable,_wrap_xmlDumpAttributeTable)
(xmlThrDefIndentTreeOutput,_wrap_xmlThrDefIndentTreeOutput)
(xmlCopyEntitiesTable,_wrap_xmlCopyEntitiesTable)
(htmlDocDumpMemory,_wrap_htmlDocDumpMemory)
(cdataBlock,_wrap_cdataBlock)
(xmlNewNsProp,_wrap_xmlNewNsProp)
(xmlXPathCastStringToNumber,_wrap_xmlXPathCastStringToNumber)
(xmlHashFree,_wrap_xmlHashFree)
(xmlSchemaValidateDoc,_wrap_xmlSchemaValidateDoc)
(xmlNextChar,_wrap_xmlNextChar)
(__xmlDeregisterNodeDefaultValue,_wrap___xmlDeregisterNodeDefaultValue)
(getParameterEntity,_wrap_getParameterEntity)
(xmlExpGetStart,_wrap_xmlExpGetStart)
(xmlModuleSymbol,_wrap_xmlModuleSymbol)
(_xmlSchemaFacet,_wrap_new__xmlSchemaFacet)
(xmlSchemaGetBuiltInListSimpleTypeItemType,_wrap_xmlSchemaGetBuiltInListSimpleTypeItemType)
(xmlModuleClose,_wrap_xmlModuleClose)
(xmlRegisterDefaultInputCallbacks,_wrap_xmlRegisterDefaultInputCallbacks)
(attributeDecl,_wrap_attributeDecl)
(xmlXPathNextNamespace,_wrap_xmlXPathNextNamespace)
(xmlGetNodePath,_wrap_xmlGetNodePath)
(xmlCopyElementTable,_wrap_xmlCopyElementTable)
(xmlNodeIsText,_wrap_xmlNodeIsText)
(htmlNodeDumpOutput,_wrap_htmlNodeDumpOutput)
(_xmlSchemaAttributeLink,_wrap_new__xmlSchemaAttributeLink)
(xmlUCSIsMusicalSymbols,_wrap_xmlUCSIsMusicalSymbols)
(__xmlRegisterNodeDefaultValue,_wrap___xmlRegisterNodeDefaultValue)
(xmlNewDtd,_wrap_xmlNewDtd)
(xmlBufferCat,_wrap_xmlBufferCat)
(xmlSplitQName,_wrap_xmlSplitQName)
(xmlParserInputBufferCreateMem,_wrap_xmlParserInputBufferCreateMem)
(xmlParserInputBufferRead,_wrap_xmlParserInputBufferRead)
(xmlNewNsPropEatName,_wrap_xmlNewNsPropEatName)
(xmlCatalogRemove,_wrap_xmlCatalogRemove)
(xmlIsMainThread,_wrap_xmlIsMainThread)
(_xmlDoc,_wrap_new__xmlDoc)
(xmlCatalogAdd,_wrap_xmlCatalogAdd)
(xmlUCSIsGujarati,_wrap_xmlUCSIsGujarati)
(htmlCreateFileParserCtxt,_wrap_htmlCreateFileParserCtxt)
(xmlParseBalancedChunkMemory,_wrap_xmlParseBalancedChunkMemory)
(xmlXPathConvertNumber,_wrap_xmlXPathConvertNumber)
(htmlNodeDump,_wrap_htmlNodeDump)
(xmlXPtrNewLocationSetNodeSet,_wrap_xmlXPtrNewLocationSetNodeSet)
(xmlCopyDtd,_wrap_xmlCopyDtd)
(xmlSAXParseDoc,_wrap_xmlSAXParseDoc)
(xmlCatalogAddLocal,_wrap_xmlCatalogAddLocal)
(xmlXPathCtxtCompile,_wrap_xmlXPathCtxtCompile)
(xmlCheckUTF8,_wrap_xmlCheckUTF8)
(nodePop,_wrap_nodePop)
(xmlParserHandleReference,_wrap_xmlParserHandleReference)
(xmlSchemaGetPredefinedType,_wrap_xmlSchemaGetPredefinedType)
(_xmlLocationSet,_wrap_new__xmlLocationSet)
(xmlSchemaGetCanonValueWhtsp,_wrap_xmlSchemaGetCanonValueWhtsp)
(xmlXPathPositionFunction,_wrap_xmlXPathPositionFunction)
(xmlDecodeEntities,_wrap_xmlDecodeEntities)
(_xmlRef,_wrap_new__xmlRef)
(xmlBufferCCat,_wrap_xmlBufferCCat)
(xmlUCSIsMalayalam,_wrap_xmlUCSIsMalayalam)
(xmlUCSIsLatinExtendedB,_wrap_xmlUCSIsLatinExtendedB)
(startDocument,_wrap_startDocument)
(_xmlSchemaWildcardNs,_wrap_new__xmlSchemaWildcardNs)
(xmlIsPubidChar,_wrap_xmlIsPubidChar)
(xmlStrdup,_wrap_xmlStrdup)
(xmlSaveUri,_wrap_xmlSaveUri)
(xmlNewDocComment,_wrap_xmlNewDocComment)
(xmlRegisterDefaultOutputCallbacks,_wrap_xmlRegisterDefaultOutputCallbacks)
(xmlCopyElementContent,_wrap_xmlCopyElementContent)
(xmlSAX2InitHtmlDefaultSAXHandler,_wrap_xmlSAX2InitHtmlDefaultSAXHandler)
(xmlParserFindNodeInfoIndex,_wrap_xmlParserFindNodeInfoIndex)
(xmlNodeAddContent,_wrap_xmlNodeAddContent)
(xmlAllocParserInputBuffer,_wrap_xmlAllocParserInputBuffer)
(xmlIsIdeographic,_wrap_xmlIsIdeographic)
(xmlHasNsProp,_wrap_xmlHasNsProp)
(xmlExpNewSeq,_wrap_xmlExpNewSeq)
(__xmlDefaultSAXHandler,_wrap___xmlDefaultSAXHandler)
(xmlSchemaValidateSetFilename,_wrap_xmlSchemaValidateSetFilename)
(xmlXPathSubstringAfterFunction,_wrap_xmlXPathSubstringAfterFunction)
(htmlReadMemory,_wrap_htmlReadMemory)
(xmlNewCharEncodingHandler,_wrap_xmlNewCharEncodingHandler)
(xmlNewElementContent,_wrap_xmlNewElementContent)
(xmlSwitchEncoding,_wrap_xmlSwitchEncoding)
(xmlXPathTrueFunction,_wrap_xmlXPathTrueFunction)
(endElement,_wrap_endElement)
(xmlDocDumpMemoryEnc,_wrap_xmlDocDumpMemoryEnc)
(xmlNodeListGetString,_wrap_xmlNodeListGetString)
(nodePush,_wrap_nodePush)
(xmlXPathNextParent,_wrap_xmlXPathNextParent)
(xmlUCSIsCatPc,_wrap_xmlUCSIsCatPc)
(xmlSchemaValPredefTypeNode,_wrap_xmlSchemaValPredefTypeNode)
(xmlRelaxNGSetValidStructuredErrors,_wrap_xmlRelaxNGSetValidStructuredErrors)
(xmlUCSIsGreekExtended,_wrap_xmlUCSIsGreekExtended)
(xmlRMutexUnlock,_wrap_xmlRMutexUnlock)
(getLineNumber,_wrap_getLineNumber)
(xmlFirstElementChild,_wrap_xmlFirstElementChild)
(xmlUCSIsKhmer,_wrap_xmlUCSIsKhmer)
(xlinkSetDefaultDetect,_wrap_xlinkSetDefaultDetect)
(xmlFreeElementContent,_wrap_xmlFreeElementContent)
(getMemUsed,_wrap_getMemUsed)
(xmlUCSIsAegeanNumbers,_wrap_xmlUCSIsAegeanNumbers)
(initGenericErrorDefaultFunc,_wrap_initGenericErrorDefaultFunc)
(__xmlParserInputBufferCreateFilename,_wrap___xmlParserInputBufferCreateFilename)
(xmlSchemaCompareValuesWhtsp,_wrap_xmlSchemaCompareValuesWhtsp)
(_xmlNodeSet,_wrap_new__xmlNodeSet)
(xmlUTF8Size,_wrap_xmlUTF8Size)
(xmlRemoveProp,_wrap_xmlRemoveProp)
(xmlUCSIsHighSurrogates,_wrap_xmlUCSIsHighSurrogates)
(xmlGetPredefinedEntity,_wrap_xmlGetPredefinedEntity)
(htmlReadIO,_wrap_htmlReadIO)
(_xmlSchemaAnnot,_wrap_new__xmlSchemaAnnot)
(xmlValidateOneAttribute,_wrap_xmlValidateOneAttribute)
(xmlListReverseSearch,_wrap_xmlListReverseSearch)
(xmlListPushFront,_wrap_xmlListPushFront)
(xmlUCSIsCatCf,_wrap_xmlUCSIsCatCf)
(xmlPreviousElementSibling,_wrap_xmlPreviousElementSibling)
(xmlParserInputBufferCreateFilename,_wrap_xmlParserInputBufferCreateFilename)
(xmlRegExecNextValues,_wrap_xmlRegExecNextValues)
(xmlInitializeDict,_wrap_xmlInitializeDict)
(xmlSAX2IsStandalone,_wrap_xmlSAX2IsStandalone)
(xmlUCSIsCatSm,_wrap_xmlUCSIsCatSm)
(xmlXPathDistinctSorted,_wrap_xmlXPathDistinctSorted)
(xmlRelaxNGGetParserErrors,_wrap_xmlRelaxNGGetParserErrors)
(xmlInitializeGlobalState,_wrap_xmlInitializeGlobalState)
(xmlDOMWrapNewCtxt,_wrap_xmlDOMWrapNewCtxt)
(xmlCheckFilename,_wrap_xmlCheckFilename)
(xmlOutputBufferCreateFilenameDefault,_wrap_xmlOutputBufferCreateFilenameDefault)
(xmlOutputBufferWrite,_wrap_xmlOutputBufferWrite)
(equals,_SWIGV8_wrap_equals)
(xmlXPathCompile,_wrap_xmlXPathCompile)
(xmlParseComment,_wrap_xmlParseComment)
(_xmlSAXHandlerV1,_wrap_new__xmlSAXHandlerV1)
(xmlGetThreadId,_wrap_xmlGetThreadId)
(xmlSchemaGetFacetValueAsULong,_wrap_xmlSchemaGetFacetValueAsULong)
(xmlFreeValidCtxt,_wrap_xmlFreeValidCtxt)
(xmlXPathNamespaceURIFunction,_wrap_xmlXPathNamespaceURIFunction)
(xmlUTF8Strpos,_wrap_xmlUTF8Strpos)
(xmlParserInputBufferCreateFile,_wrap_xmlParserInputBufferCreateFile)
(xmlInitParserCtxt,_wrap_xmlInitParserCtxt)
(unparsedEntityDecl,_wrap_unparsedEntityDecl)
(xmlIsRef,_wrap_xmlIsRef)
(xmlUCSIsCatLm,_wrap_xmlUCSIsCatLm)
(xmlSaveSetEscape,_wrap_xmlSaveSetEscape)
(xmlSetEntityReferenceFunc,_wrap_xmlSetEntityReferenceFunc)
(htmlCreateMemoryParserCtxt,_wrap_htmlCreateMemoryParserCtxt)
(xmlThrDefDefaultBufferSize,_wrap_xmlThrDefDefaultBufferSize)
(xmlListWalk,_wrap_xmlListWalk)
(xmlOutputBufferClose,_wrap_xmlOutputBufferClose)
(xmlXPathLeading,_wrap_xmlXPathLeading)
(htmlParseDocument,_wrap_htmlParseDocument)
(xmlXPathVariableLookup,_wrap_xmlXPathVariableLookup)
(xmlXPtrRangeToFunction,_wrap_xmlXPtrRangeToFunction)
(xmlNewCharRef,_wrap_xmlNewCharRef)
(xmlTextMerge,_wrap_xmlTextMerge)
(xmlHashLookup3,_wrap_xmlHashLookup3)
(xmlValidNormalizeAttributeValue,_wrap_xmlValidNormalizeAttributeValue)
(xmlRelaxNGValidatePopElement,_wrap_xmlRelaxNGValidatePopElement)
(xmlXPathInit,_wrap_xmlXPathInit)
(xmlIsCombining,_wrap_xmlIsCombining)
(xmlCatalogFreeLocal,_wrap_xmlCatalogFreeLocal)
(xmlClearNodeInfoSeq,_wrap_xmlClearNodeInfoSeq)
(xmlSaveFlush,_wrap_xmlSaveFlush)
