(middleNameAsync,middleNameAsync)
(rollbackSync,rollbackSync)
(ExternalContext,ExternalContext)
(getLoginSync,getLoginSync)
(getDatabaseConfSync,getDatabaseConfSync)
(setLengthSync,setLengthSync)
(TraceServiceConnection,TraceServiceConnection)
(getMessageLengthAsync,getMessageLengthAsync)
(isEofSync,isEofSync)
(TraceDatabaseConnection,TraceDatabaseConnection)
(clearSync,clearSync)
(sendSync,sendSync)
(getPluginSync,getPluginSync)
(getBigIntSync,getBigIntSync)
(rollbackRetainingSync,rollbackRetainingSync)
(rewindAsync,rewindAsync)
(getFbVersionSync,getFbVersionSync)
(TracePlugin,TracePlugin)
(setScaleAsync,setScaleAsync)
(truncateAsync,truncateAsync)
(getNullOffsetAsync,getNullOffsetAsync)
(Dtc,Dtc)
(setupAsync,setupAsync)
(findNextAsync,findNextAsync)
(getUtilInterfaceAsync,getUtilInterfaceAsync)
(transactRequestSync,transactRequestSync)
(getDataSync,getDataSync)
(listSync,listSync)
(lastNameAsync,lastNameAsync)
(setDelayedOutputFormatAsync,setDelayedOutputFormatAsync)
(cloneAsync,cloneAsync)
(getSync,getSync)
(specifiedAsync,specifiedAsync)
(transactRequestAsync,transactRequestAsync)
(getTriggerMetadataAsync,getTriggerMetadataAsync)
(disposeSync,disposeSync)
(Server,Server)
(getConfigSync,getConfigSync)
(executeCreateDatabaseSync,executeCreateDatabaseSync)
(startBuilderSync,startBuilderSync)
(handlerSync,handlerSync)
(getTriggerTableAsync,getTriggerTableAsync)
(getDtcAsync,getDtcAsync)
(reconnectTransactionAsync,reconnectTransactionAsync)
(getKnownTypesAsync,getKnownTypesAsync)
(TraceInitInfo,TraceInitInfo)
(middleNameSync,middleNameSync)
(openBlobAsync,openBlobAsync)
(getPasswordAsync,getPasswordAsync)
(initAsync,initAsync)
(addRefSync,addRefSync)
(registerPluginFactorySync,registerPluginFactorySync)
(getTriggerTypeAsync,getTriggerTypeAsync)
(getOffsetSync,getOffsetSync)
(getTypeAsync,getTypeAsync)
(serverModeAsync,serverModeAsync)
(getScaleAsync,getScaleAsync)
(setDbSync,setDbSync)
(enteredAsync,enteredAsync)
(getOwnerAsync,getOwnerAsync)
(asBooleanAsync,asBooleanAsync)
(getBigIntAsync,getBigIntAsync)
(prepareAsync,prepareAsync)
(getUserNameSync,getUserNameSync)
(keyCallbackSync,keyCallbackSync)
(getConnectionIDAsync,getConnectionIDAsync)
(findAsync,findAsync)
(getFirebirdConfSync,getFirebirdConfSync)
(firstNameAsync,firstNameAsync)
(insertBigIntSync,insertBigIntSync)
(getBytesAsync,getBytesAsync)
(Blob,Blob)
(addSync,addSync)
(TraceFunction,TraceFunction)
(UdrProcedureFactory,UdrProcedureFactory)
(createBlobSync,createBlobSync)
(addAsync,addAsync)
