(getInt64,GetInt64)
(headUnborn,HeadUnborn)
(fromRevspec,FromRevspec)
(getNamespace,GetNamespace)
(fetchheadForeach,FetchheadForeach)
(setTarget,SetTarget)
(RemoteCreateOptions,JSNewFunction)
(resolve,Resolve)
(nfiles,Nfiles)
(origSignature,OrigSignature)
(default,Default)
(TreeUpdate,JSNewFunction)
(offset,Offset)
(findGlobal,FindGlobal)
(pushGlob,PushGlob)
(Oidarray,JSNewFunction)
(repo,Repo)
(file,File)
(string2Type,String2type)
(getPerfdata,GetPerfdata)
(deleteEntry,DeleteEntry)
(author,Author)
(lock,Lock)
(hideRef,HideRef)
(shortId,ShortId)
(headToIndex,HeadToIndex)
(path,Path)
(prune,Prune)
(isPrunable,IsPrunable)
(matchDiff,MatchDiff)
(setUpdate,SetUpdate)
(finalStartLineNumber,FinalStartLineNumber)
(headId,HeadId)
(CheckoutOptions,JSNewFunction)
(numDeltas,NumDeltas)
(seconds,Seconds)
(insertWalk,InsertWalk)
(getHunk,GetHunk)
(oldFile,OldFile)
(DiffHunk,JSNewFunction)
(setReflog,SetReflog)
(write,Write)
(addDiskAlternate,AddDiskAlternate)
(fetch,Fetch)
(strcmp,Strcmp)
(removeByPath,RemoveBypath)
(tagger,Tagger)
(DiffBinary,JSNewFunction)
(entryIsConflict,EntryIsConflict)
(addToIndex,AddToIndex)
(unregister,GitFilterUnregister)
(DiffBinaryFile,JSNewFunction)
(FetchOptions,JSNewFunction)
(getSelfFreeingInstanceCount,GetSelfFreeingInstanceCount)
(remoteName,RemoteName)
(setBool,SetBool)
(operationCurrent,OperationCurrent)
(DescribeOptions,JSNewFunction)
(matchTree,MatchTree)
(download,Download)
(applyToBlob,ApplyToBlob)
(state,State)
(set,Set)
(oldStart,OldStart)
(setHeadDetachedFromAnnotated,SetHeadDetachedFromAnnotated)
(inmemoryIndex,InmemoryIndex)
(ontoName,OntoName)
(isRemote,IsRemote)
(_entryByName,EntryByname)
(blobToBuffer,BlobToBuffer)
(readPrefix,ReadPrefix)
(upstreamName,UpstreamName)
(createUpdated,CreateUpdated)
(hunks,Hunks)
(Revert,Revert)
(symrefTarget,SymrefTarget)
(createFromDisk,CreateFromDisk)
(targetType,TargetType)
(indexToWorkdir,IndexToWorkdir)
(treeId,TreeId)
(cleanup,Cleanup)
(Merge,Merge)
(header,Header)
(cacheFlush,CacheFlush)
(matchesPath,MatchesPath)
(Refdb,JSNewFunction)
(message,Message)
(getByPath,GetByPath)
(dstMatches,DstMatches)
(Diff,JSNewFunction)
(type2String,Type2string)
(nameToId,NameToId)
(initExt,InitExt)
(fastWalk,FastWalk)
(isZero,IsZero)
(equal,Equal)
(trees,Trees)
(StatusList,JSNewFunction)
(isValidName,IsValidName)
(nthGenAncestor,NthGenAncestor)
(hasLog,HasLog)
(setMultivar,SetMultivar)
(origCommitId,OrigCommitId)
(operationEntrycount,OperationEntrycount)
(checksum,Checksum)
(sshKeyNew,SshKeyNew)
(openDefault,OpenDefault)
(buffer,Buffer)
(BranchIterator,JSNewFunction)
(next,Next)
(indexToIndex,IndexToIndex)
(ancestor,Ancestor)
(version,Version)
(ApplyOptions,JSNewFunction)
(read,Read)
(ConfigIterator,JSNewFunction)
(similarity,Similarity)
(createMultivar,GitConfigMultivarIteratorNew)
(headForWorktree,HeadForWorktree)
(getByPath,GetBypath)
(symbolicSetTarget,SymbolicSetTarget)
(setHead,SetHead)
(time,Time)
(openOndisk,OpenOndisk)
(openFromRepository,OpenFromRepository)
(indexId,IndexId)
(opts,Opts)
(read,OdbRead)
(ext,Ext)
(objectCount,ObjectCount)
(ontoId,OntoId)
(Wrapper,JSNewFunction)
(setNamespace,SetNamespace)
(getPushRefspecs,GetPushRefspecs)
(committerWithMailmap,CommitterWithMailmap)
(owner,Owner)
(Rebase,JSNewFunction)
(getNonSelfFreeingConstructedCount,GetNonSelfFreeingConstructedCount)
(upload,Upload)
(append,Append)
(DiffPerfdata,JSNewFunction)
(entryByIndex,EntryByindex)
(timeOffset,TimeOffset)
(matchIndex,MatchIndex)
(createDetached,CreateDetached)
(filter,Filter)
(amend,Amend)
(linesInHunk,LinesInHunk)
(insert,Insert)
(DiffOptions,JSNewFunction)
(refreshReferences,RefreshReferences)
(entry,Entry)
(setString,SetString)
(contentOffset,ContentOffset)
(itemPath,ItemPath)
(fromBuffer,FromBuffer)
(createAnonymous,CreateAnonymous)
(hashfile,Hashfile)
(userpassPlaintextNew,UserpassPlaintextNew)
(filteredContent,FilteredContent)
(getRefspec,GetRefspec)
(isDeleted,IsDeleted)
(isUntracked,IsUntracked)
(typeisloose,Typeisloose)
(getLineInHunk,GetLineInHunk)
(compress,Compress)
(force,Force)
(Hashsig,JSNewFunction)
(failedEntrycount,FailedEntrycount)
(createWithFetchspec,CreateWithFetchspec)
