(strMatch,StrMatch)
(mapValue,MapValue)
(addFetch,AddFetch)
(addPush,AddPush)
(autotag,Autotag)
(connect,Connect)
(connected,Connected)
(createAnonymous,CreateAnonymous)
(createDetached,CreateDetached)
(createWithFetchspec,CreateWithFetchspec)
(createWithOpts,CreateWithOpts)
(defaultBranch,DefaultBranch)
(disconnect,Disconnect)
(download,Download)
(fetch,Fetch)
(getFetchRefspecs,GetFetchRefspecs)
(getPushRefspecs,GetPushRefspecs)
(getRefspec,GetRefspec)
(pruneRefs,PruneRefs)
(pushurl,Pushurl)
(refspecCount,RefspecCount)
(setAutotag,SetAutotag)
(setPushurl,SetPushurl)
(stats,Stats)
(stop,Stop)
(updateTips,UpdateTips)
(upload,Upload)
(referenceList,ReferenceList)
(certType,CertType)
